0	0   0	86	1	2
1	1	1	3	-3	2
1	1	1	4	-3	1
1	1	1	3	-1	2
1	1	1	3	-3	1
1	1	1	3	-3	2
1	1	1	3	-3	1
1	1	1	3	-3	2
1	1	1	3	-3	1
1	1	1	4	-3	2
1	1	1	3	-1	1
1	1	1	3	-3	2
1	1	1	4	-3	1
1	1	1	4	-3	2
1	1	1	3	-1	1
1	1	1	3	-3	1
1	1	1	3	-3	2
1	1	1	3	-3	1
1	1	1	3	-3	2
1	1	1	2	-1	1
1	1	1	2	-3	1
1	1	1	2	-3	1
1	1	1	4	-3	2
1	1	1	5	-3	1
1	1	1	4	-1	1
1	1	1	4	-3	1
1	1	1	4	-3	1
1	1	1	4	-3	1
1	1	1	4	-3	1
1	1	1	6	-3	1
1	1	1	3	-1	1
1	1	0	3	-3	2
1	1	0	2	-1	1
1	1	0	2	-3	1
1	1	0	3	-3	2
1	1	0	2	-1	1
1	1	0	2	-3	1
1	1	0	2	-3	1
1	1	0	3	-3	2
1	1	0	2	-1	1
1	1	0	3	-3	2
1	1	0	3	-3	1
1	1	0	3	-3	2
1	1	1	4	-3	1
1	1	1	4	-3	1
1	1	1	4	-3	1
1	1	1	0	-1	1
1	1	1	4	-3	2
1	1	1	3	-1	1
1	1	1	3	-3	2
1	1	1	3	-3	1
1	1	1	3	-3	2
1	1	1	3	-3	1
1	1	1	3	-3	1
1	1	1	3	-3	2
1	1	1	0	-1	0
1	1	1	6	-3	2
1	1	1	4	-1	1
1	1	1	4	-3	2
0	0	0	208	-0.8	1
0	0	0	184	1.2	1
0	0	0	181	1.2	1
0	0	0	181	-0.8	1
0	0	0	181	-0.8	1
0	0	0	181	-0.8	1
0	0	0	181	-0.8	1
0	0	0	181	-0.8	1
0	0	0	181	-0.8	1
0	0	0	181	-0.8	1
0	0	0	181	-0.8	1
0	0	0	180	1.2	1
0	0	0	178	1.2	1
0	0	0	176	1.2	1
0	0	0	175	1.2	1
0	0	0	175	-0.8	1
0	0	0	171	1.2	1
0	0	0	169	1.2	1
0	0	0	167	1.2	1
0	0	0	166	1.2	1
0	0	0	164	1.2	1
0	0	0	162	1.2	1
0	0	1	159	0	1
0	0	1	158	0	1
0	0	1	156	0	1
0	0	1	154	0	1
0	0	0	152	1.2	1
0	1	0	150	0	1
0	1	0	149	0	1
0	1	0	147	0	1
0	1	0	145	0	1
0	1	0	142	0	1
0	0	0	140	1.2	1
0	0	0	139	1.2	1
0	0	0	138	1.2	1
0	0	0	135	1.2	1
0	0	0	133	1.2	1
0	0	0	132	1.2	1
0	0	0	128	1.2	1
0	0	0	127	1.2	2
1	0	0	125	0	2
1	0	0	122	-0.2	2
1	0	0	193	-2.2	2
1	0	0	120	-0.2	2
1	0	0	117	-0.2	2
0	0	0	114	1	1
0	0	0	111	1.2	1
0	0	0	111	-0.8	1
0	0	0	111	-0.8	1
0	0	0	131	-0.8	1
0	0	0	112	1.2	1
0	0	0	142	-0.8	1
0	0	0	145	-0.8	1
0	0	0	181	-0.8	1
0	0	0	179	1.2	1
0	0	0	177	1.2	1
0	0	0	182	-0.8	1
0	0	0	106	1.2	1
0	0	0	101	1.2	1
0	0	0	102	-0.8	1
0	0	0	169	-0.8	1
0	0	0	204	-0.8	1
0	0	0	96	1.2	1
0	0	0	94	1.2	1
0	0	0	93	1.2	1
0	0	0	92	1.2	1
0	0	0	195	-0.8	1
0	0	0	90	1.2	1
0	0	0	88	1.2	1
0	0	0	86	1.2	1
0	0	0	85	1.2	1
0	0	0	84	1.2	2
0	0	0	84	-0.8	2
0	0	0	143	-1	2
0	0	0	140	1	2
0	0	0	86	1	2
0	0	0	80	1	1
0	0	0	77	1.2	1
0	0	0	132	-0.8	1
0	0	0	128	1.2	1
0	0	0	126	1.2	1
0	0	0	73	1.2	1
0	0	0	122	-0.8	1
0	0	0	121	1.2	1
0	0	0	118	1.2	1
0	0	0	69	1.2	1
0	0	0	113	-0.8	1
0	0	0	61	1.2	1
0	0	0	60	1.2	1
0	0	0	105	-0.8	1
0	0	0	103	1.2	2
0	0	0	103	-0.8	2
0	0	0	53	1	2
0	0	0	53	-1	2
0	0	1	100	-2.2	2
0	0	1	98	-0.2	1
0	0	1	97	0	1
0	0	1	46	0	1
0	0	1	46	-2	1
0	0	1	44	0	1
0	1	1	44	-2	1
0	1	1	42	0	1
0	1	1	43	-2	1
0	1	1	38	0	1
1	1	1	38	-2	1
1	0	1	37	0	1
1	0	0	34	0	1
0	0	0	33	1.2	1
0	0	0	31	1.2	1
0	0	0	31	-0.8	2
0	0	0	27	1.2	1
0	0	0	22	1.2	1
0	0	0	19	1.2	1
0	0	0	18	1.2	1
0	0	0	14	0.2	1
0	0	0	12	0.2	1
0	0	1	11	-1	1
0	0	0	9	0.2	1
0	0	0	7	0.2	1
0	0	0	6	0.2	1
1	1	0	3	-1	0
1	1	0	3	-3	0
1	1	1	3	-3.2	0
1	1	1	0	-1.2	0
1	1	1	3	-3.2	0
1	1	1	3	-3.2	0
1	1	1	3	-3.2	0
1	1	1	3	-3.2	0
1	1	1	3	-3.2	0
1	1	1	0	-1.2	0
1	1	1	12	-3.2	1
1	1	1	11	-1	1
1	1	1	0	-1	0
1	1	1	9	-3	1
1	1	1	3	-1	0
0	1	1	2	-1	0
0	1	1	3	-3.2	1
0	1	1	4	-3	0
0	1	1	13	-3	1
0	1	1	6	-1	1
0	1	1	5	-1	1
0	1	1	6	-3	1
0	0	1	8	-3	1
0	0	1	289	-2	1
0	0	1	143	0	1
0	0	1	143	-2	1
0	0	1	9	-1	1
0	0	1	286	-2	1
0	0	1	7	-1	1
0	0	1	12	-3	1
0	1	1	0	-1	0
0	1	1	8	-3	1
0	1	1	4	-1	1
0	1	1	7	-3	1
0	1	1	4	-1	1
0	1	1	4	-3	1
0	1	1	4	-3	1
0	1	1	4	-3	1
0	1	1	3	-1	0
0	1	1	3	-3	1
0	1	1	3	-3	0
0	1	1	2	-1	1
0	1	1	5	-3	1
0	1	1	2	-1	0
1	1	1	3	-3	1
1	1	1	3	-3	1
1	1	1	4	-3	1
1	1	1	8	-3	1
1	1	1	6	-1	1
1	1	1	3	-1	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	8	-3	1
1	1	1	7	-1	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	8	-3	1
1	1	1	7	-1	1
1	1	1	7	-3	1
1	1	1	8	-3	1
1	1	1	7	-1	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	6	-1	1
1	1	1	7	-3	1
1	1	1	6	-1	1
1	1	1	6	-3	1
1	1	1	6	-3	1
1	1	1	6	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	6	-1	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	7	-3	1
1	1	1	6	-1	1
1	1	1	6	-3	1
1	1	1	5	-1	1
1	1	1	6	-3	1
1	1	1	6	-3	1
1	1	1	5	-1	1
1	1	1	7	-3	1
1	1	1	5	-1	1
1	1	1	6	-3	1
1	1	1	6	-3	1
1	1	1	5	-1	0
1	1	1	5	-3	1
1	1	1	6	-3	1
1	1	1	6	-3	1
1	1	1	6	-3	1
1	1	1	5	-1	0
1	1	1	5	-3	1
1	1	1	5	-3	0
1	1	1	5	-3	1
1	1	1	5	-3	1
1	1	1	5	-3	1
1	1	1	7	-3	1
1	1	1	3	-1	0
1	1	1	3	-3	2
1	1	1	3	-3	0
1	1	1	3	-3	2
1	1	1	3	-3	0
1	1	1	3	-3	2
1	1	1	2	-1	0
1	1	1	5	-3	2
1	1	1	5	-3	0
1	1	1	3	-1	2
1	1	1	3	-3	0
1	1	1	3	-3	2
1	1	1	3	-3	0
1	1	1	2	-1	0
1	1	1	3	-3.2	2
1	1	1	4	-3	0
1	1	1	4	-3	2
1	1	1	5	-3	0
1	1	1	5	-3	2
1	1	1	3	-1	0
1	1	1	3	-3	2
1	1	1	3	-3	0
1	1	1	8	-3	2
1	1	1	5	-1	0
1	1	1	5	-3	2
1	1	1	5	-3	0
1	1	1	4	-1	2
1	1	1	3	-1	0
1	1	1	2	-1	0
1	1	1	2	-3.2	0
1	1	1	2	-3.2	0
1	1	1	2	-3.2	0
1	1	1	2	-3.2	0
1	1	1	2	-3.2	0
0	1	1	2	-3.2	0
0	1	1	2	-3.2	0
0	1	1	3	-3.2	0
0	1	1	3	-3.2	0
0	1	1	2	-1.2	0
0	1	1	3	-3.2	0
0	1	1	2	-1.2	0
0	1	1	2	-3.2	0
0	1	1	2	-3.2	0
0	1	1	2	-3.2	0
0	1	1	2	-3.2	0
0	1	1	3	-3.2	0
0	1	1	2	-1.2	0
0	1	1	2	-3.2	0
0	1	1	2	-3.2	0
0	1	1	2	-3.2	0
0	1	1	3	-3.2	0
0	1	1	7	-3.2	2
0	1	1	5	-1	0
0	1	1	8	-3	2
0	1	1	5	-1	0
0	1	1	5	-3	2
0	1	1	4	-1	0
0	1	1	5	-3	2
0	1	1	4	-1	0
0	1	1	4	-3	2
0	1	1	4	-3	0
0	1	1	4	-3	2
0	1	1	11	-3	1
0	1	1	6	-1	2
0	1	1	7	-3	0
0	1	1	10	-3	2
0	1	1	3	-1	0
0	1	1	3	-3	2
0	1	1	3	-3	0
0	1	1	3	-3	2
0	1	1	3	-3	0
0	1	1	3	-3	2
0	1	1	3	-3	0
0	1	1	2	-1	0
0	1	1	3	-3.2	2
0	1	1	3	-3	0
0	1	1	3	-3	2
0	1	1	3	-3	0
1	1	1	3	-3	2
1	1	1	3	-3	0
0	1	1	3	-3	2
0	1	1	3	-3	0
0	1	1	3	-3	2
0	1	1	3	-3	0
0	1	1	4	-3	2
0	1	1	4	-3	0
0	1	1	5	-3	2
0	1	1	5	-3	0
0	0	1	7	-3	2
0	0	1	11	-3	1
0	0	1	281	-2	1
0	0	1	0	-1	0
0	0	1	127	-2	2
0	0	1	125	0	2
0	0	1	124	-0.2	2
0	0	1	121	-0.2	2
0	0	1	119	-0.2	2
0	0	1	119	-2.2	2
0	0	1	119	-2.2	2
0	0	1	12	-1.2	1
0	0	1	122	-2	2
0	0	1	121	0	2
0	0	1	122	-2.2	1
0	0	1	123	-2	1
0	0	1	122	0	1
0	0	1	122	-2	1
0	0	1	123	-2	1
0	0	1	122	0	1
0	0	1	121	0	1
0	0	1	11	-1	1
0	0	1	8	-1	1
0	0	1	8	-3	1
0	0	1	9	-3	1
0	0	1	7	-1	1
0	1	1	7	-3	1
0	1	1	6	-1	1
0	1	1	5	-1	0
0	1	1	6	-3	2
0	1	1	4	-1	0
0	1	1	5	-3	2
0	1	1	20	-2	1
0	1	1	4	-1	0
0	1	1	4	-3	2
0	1	1	3	-1	0
0	1	1	4	-3	2
0	1	1	4	-3	0
0	1	1	4	-3	2
0	1	1	4	-3	0
0	1	1	5	-3	2
0	0	1	8	-3	1
0	0	1	7	-1	1
0	0	1	14	-3	1
0	0	1	111	-2	1
0	0	1	110	0	1
0	0	1	110	-2	1
0	0	1	108	0	1
0	0	1	104	0	1
0	0	1	103	0	1
