2019-01-11 17:17:05.628200	S_L		S_M		S_R		Dis_1		Dis_2		Act
2019-01-11 17:17:23.581308	1		0		0		189		163		w
2019-01-11 17:17:23.743813	0		0		0		184		153		w
2019-01-11 17:17:23.905279	0		0		0		179		145		a
2019-01-11 17:17:24.065958	0		0		0		176		137		a
2019-01-11 17:17:24.226564	0		0		0		177		135		a
2019-01-11 17:17:24.391078	0		0		0		231		143		w
2019-01-11 17:17:24.544419	1		0		0		143		42		w
2019-01-11 17:17:24.697422	0		0		0		139		32		w
2019-01-11 17:17:24.849403	0		1		0		113		27		d
2019-01-11 17:17:25.006405	0		1		0		137		125		d
2019-01-11 17:17:25.167618	0		0		0		205		118		d
2019-01-11 17:17:25.328796	0		0		1		192		116		d
2019-01-11 17:17:25.496626	1		0		0		212		195		w
2019-01-11 17:17:25.656514	0		0		0		105		188		w
2019-01-11 17:17:25.816267	0		0		0		109		178		w
2019-01-11 17:17:25.974319	0		0		0		52		171		w
2019-01-11 17:17:26.132625	0		0		0		111		163		w
2019-01-11 17:17:26.290486	0		0		0		113		153		w
2019-01-11 17:17:26.448406	0		0		0		119		144		w
2019-01-11 17:17:26.606190	0		0		1		122		135		w
2019-01-11 17:17:26.763252	0		0		1		126		126		w
2019-01-11 17:17:26.920092	0		0		0		131		117		w
2019-01-11 17:17:27.076737	0		0		0		135		109		w
2019-01-11 17:17:27.233284	0		0		0		138		104		a
2019-01-11 17:17:27.450607	0		0		0		183		75		a
2019-01-11 17:17:27.603368	0		0		0		109		67		w
2019-01-11 17:17:27.755458	0		0		0		105		59		w
2019-01-11 17:17:27.906838	0		0		0		103		50		w
2019-01-11 17:17:28.057891	0		0		0		103		40		a
2019-01-11 17:17:28.209369	0		0		0		100		41		a
2019-01-11 17:17:28.366424	0		1		0		102		139		a
2019-01-11 17:17:28.518765	0		1		0		48		120		a
2019-01-11 17:17:28.670945	0		0		0		46		119		a
2019-01-11 17:17:28.829683	0		0		0		155		122		w
2019-01-11 17:17:28.987504	0		0		0		138		118		w
2019-01-11 17:17:29.304055	0		0		0		0		107		w
2019-01-11 17:17:29.452456	0		0		0		4		100		d
2019-01-11 17:17:29.604450	0		0		0		76		90		d
2019-01-11 17:17:29.754250	0		0		0		44		85		d
2019-01-11 17:17:29.903394	0		0		0		77		36		w
2019-01-11 17:17:30.051835	0		0		0		74		31		w
2019-01-11 17:17:30.202336	0		0		0		71		70		w
2019-01-11 17:17:30.352182	0		0		0		68		61		w
2019-01-11 17:17:30.501297	0		0		0		64		53		w
2019-01-11 17:17:30.649965	0		0		1		60		45		w
2019-01-11 17:17:30.798708	0		0		0		57		38		d
2019-01-11 17:17:30.947863	0		0		0		69		36		d
2019-01-11 17:17:31.104761	0		0		0		196		42		d
2019-01-11 17:17:31.261496	0		0		0		195		41		d
2019-01-11 17:17:31.425474	0		0		0		265		92		d
2019-01-11 17:17:31.580134	0		0		1		7		93		w
2019-01-11 17:17:31.737977	0		0		1		180		85		w
2019-01-11 17:17:31.895969	0		0		1		185		82		w
2019-01-11 17:17:32.053431	0		0		1		178		68		w
2019-01-11 17:17:32.210699	0		0		1		191		65		w
2019-01-11 17:17:32.367856	0		0		0		197		53		w
2019-01-11 17:17:32.524629	0		0		0		199		37		w
2019-01-11 17:17:32.682833	0		1		0		205		29		w
2019-01-11 17:17:32.841265	0		0		0		195		82		d
2019-01-11 17:17:33.002414	0		1		0		209		112		d
2019-01-11 17:17:33.165221	0		0		0		229		118		w
2019-01-11 17:17:33.322066	0		0		1		137		111		w
2019-01-11 17:17:33.484513	0		0		0		237		105		w
2019-01-11 17:17:33.644849	1		0		0		200		96		w
2019-01-11 17:17:33.806952	1		0		0		234		92		w
2019-01-11 17:17:33.968374	1		0		0		233		83		w
2019-01-11 17:17:34.129318	1		0		0		233		74		w
2019-01-11 17:17:34.289891	1		0		0		235		65		w
2019-01-11 17:17:34.446125	0		0		0		171		57		w
2019-01-11 17:17:34.601659	0		0		1		167		49		w
2019-01-11 17:17:34.910636	0		0		0		164		33		w
2019-01-11 17:17:35.060232	0		0		0		92		31		d
2019-01-11 17:17:35.222804	0		1		0		203		143		d
