[[ 0.          0.          0.         -0.12149038  0.05045455]
 [ 1.          0.          0.         -0.16956731  0.23227273]
 [ 1.          0.          0.         -0.12149038 -0.22227273]
 [ 1.          0.          0.         -0.13110577  0.23227273]
 [ 1.          0.          0.         -0.14072115  0.23227273]
 [ 1.          1.          0.         -0.13591346 -0.26772727]
 [ 1.          1.          0.         -0.15033654  0.18681818]
 [ 1.          1.          0.         -0.15033654 -0.26772727]
 [ 1.          1.          0.         -0.15514423  0.18681818]
 [ 1.          1.          0.         -0.15514423 -0.26772727]
 [ 1.          1.          0.         -0.15995192  0.18681818]
 [ 1.          1.          1.         -0.15033654 -0.26772727]
 [ 1.          1.          1.         -0.15514423  0.18681818]
 [ 1.          1.          1.         -0.15514423 -0.26772727]
 [ 1.          1.          1.         -0.15514423 -0.26772727]
 [ 1.          1.          1.         -0.15514423 -0.26772727]
 [ 1.          1.          1.         -0.15514423 -0.26772727]
 [ 1.          1.          1.         -0.15514423 -0.26772727]
 [ 1.          1.          1.         -0.15033654 -0.26772727]
 [ 1.          1.          1.         -0.15514423  0.18681818]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.15514423  0.23227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.15514423  0.23227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.15514423  0.23227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.15514423  0.23227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15995192  0.23227273]
 [ 1.          1.          1.         -0.15995192 -0.22227273]
 [ 1.          1.          1.         -0.15995192 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.14552885 -0.22227273]
 [ 1.          1.          1.         -0.15033654  0.23227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.14072115 -0.22227273]
 [ 1.          1.          1.         -0.15514423  0.23227273]
 [ 1.          1.          0.         -0.15514423 -0.22227273]
 [ 1.          1.          0.         -0.15995192  0.23227273]
 [ 1.          1.          0.         -0.15995192 -0.22227273]
 [ 1.          1.          0.         -0.15514423 -0.22227273]
 [ 1.          1.          0.         -0.15995192  0.23227273]
 [ 1.          1.          0.         -0.15995192 -0.22227273]
 [ 1.          1.          0.         -0.15995192 -0.22227273]
 [ 1.          1.          0.         -0.15514423 -0.22227273]
 [ 1.          1.          0.         -0.15995192  0.23227273]
 [ 1.          1.          0.         -0.15514423 -0.22227273]
 [ 1.          1.          0.         -0.15514423 -0.22227273]
 [ 1.          1.          0.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.16956731  0.23227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 1.          1.          1.         -0.15514423  0.23227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.15514423 -0.22227273]
 [ 1.          1.          1.         -0.16956731  0.23227273]
 [ 1.          1.          1.         -0.14072115 -0.22227273]
 [ 1.          1.          1.         -0.15033654  0.23227273]
 [ 1.          1.          1.         -0.15033654 -0.22227273]
 [ 0.          0.          0.          0.83043269  0.27772727]
 [ 0.          0.          0.          0.71504808  0.73227273]
 [ 0.          0.          0.          0.700625    0.73227273]
 [ 0.          0.          0.          0.700625    0.27772727]
 [ 0.          0.          0.          0.700625    0.27772727]
 [ 0.          0.          0.          0.700625    0.27772727]
 [ 0.          0.          0.          0.700625    0.27772727]
 [ 0.          0.          0.          0.700625    0.27772727]
 [ 0.          0.          0.          0.700625    0.27772727]
 [ 0.          0.          0.          0.700625    0.27772727]
 [ 0.          0.          0.          0.700625    0.27772727]
 [ 0.          0.          0.          0.69581731  0.73227273]
 [ 0.          0.          0.          0.68620192  0.73227273]
 [ 0.          0.          0.          0.67658654  0.73227273]
 [ 0.          0.          0.          0.67177885  0.73227273]
 [ 0.          0.          0.          0.67177885  0.27772727]
 [ 0.          0.          0.          0.65254808  0.73227273]
 [ 0.          0.          0.          0.64293269  0.73227273]]
